```toon
entrees[30]{id,nom,description,prix,allergenes}:
  28,Wok de poulet aux cacahuètes,"Poulet, légumes, arachide, soja, sésame",13,arachide|soja|sésame
  29,Pâté en croûte maison,"Porc, volaille, pistaches, œufs",11,gluten|fruits à coque
  30,Feuilleté aux fruits de mer,"Pâte feuilletée, crevettes, poisson, béchamel",16,gluten|crustacés|poisson|lactose
plats[32]{id,nom,description,prix,allergenes}:
  31,Poulet rôti aux herbes,"Poulet fermier, herbes de Provence, jus au thym",18,""
  32,Steak frites,"Steak de bœuf, frites maison, salade verte",22,""
  33,Filet de bar en croûte de sel,"Filet de bar, gros sel, légumes grillés",28,""
  34,Riz sauté aux légumes,"Riz basmati, légumes variés, épices douces",15,""
  35,Gratin de courgettes au parmesan,"Courgettes, parmesan, chapelure",16,""
  36,Pâtes carbonara,"Spaghetti, lardons, crème, parmesan",17,gluten
  37,Burger maison,"Pain brioché, steak, cheddar, salade, tomate",19,gluten
  38,Pizza margherita,"Sauce tomate, mozzarella, basilic",15,gluten
  39,Magret de canard,"Magret de canard, sauce aux figues, purée maison",24,lactose
  40,Risotto aux champignons,Risotto crémeux aux cèpes et parmesan,19.5,lactose
  41,Gratin dauphinois,"Pommes de terre, crème, ail, noix de muscade",16,lactose
  42,Poulet satay,"Brochettes de poulet, sauce cacahuète, riz",18,arachide
  43,Curry thaï au bœuf,"Bœuf, lait de coco, arachide, légumes",20,arachide
  44,Canard aux noix et miel,"Magret de canard, noix, miel, sauce aigre-douce",25,fruits à coque
  45,Saumon en croûte de pistaches,"Filet de saumon, pistaches, épinards",27,fruits à coque
  46,Tofu grillé sauce teriyaki,"Tofu ferme, sauce soja, riz, légumes",16,soja
  47,Bœuf sauté au soja,"Bœuf, brocolis, carottes, sauce soja",21,soja
  48,Filet de saumon grillé,"Saumon atlantique, beurre citronné, asperges",26,poisson
  49,Lotte au beurre blanc,"Queue de lotte, beurre blanc, riz pilaf",29,poisson
  50,Risotto aux fruits de mer,"Risotto, crevettes, moules, calamars",28,crustacés
  51,Homard grillé,"Homard breton, beurre à l'ail, pommes sautées",45,crustacés
  52,Porc à la moutarde,"Filet mignon, sauce moutarde à l'ancienne, purée",22,moutarde
  53,Rôti de bœuf sauce moutarde,"Rôti de bœuf, sauce moutarde au poivre, légumes",24,moutarde
  54,Poulet au sésame,"Poulet laqué, graines de sésame, riz cantonais",19,sésame
  55,Buddha bowl au sésame,"Quinoa, légumes, tofu, graines de sésame",17,sésame
  56,Côtes d'agneau grillées,"Côtes d'agneau, romarin, légumes grillés",26,sulfites
  57,Cassoulet toulousain,"Haricots blancs, saucisse, confit de canard",22,sulfites
  58,Poulet aux amandes et soja,"Poulet, amandes, sauce soja, riz",20,fruits à coque|soja
  59,Pâtes aux fruits de mer,"Linguine, crevettes, moules, sauce crème",27,gluten|crustacés|lactose
  60,Canard laqué aux cacahuètes,"Magret de canard, sauce cacahuète, sésame",26,arachide|sésame
  61,Burger au saumon fumé,"Pain brioché, saumon fumé, fromage frais",21,gluten|poisson|lactose
  62,Pizza aux fruits de mer,"Pâte à pizza, crevettes, calamars, mozzarella",22,gluten|crustacés|lactose
desserts[29]{id,nom,description,prix,allergenes}:
  63,Sorbet citron,Sorbet rafraîchissant au citron frais,6,""
  64,Salade de fruits frais,Fruits de saison coupés en dés,7,""
  65,Mousse au chocolat noir,"Chocolat noir 70%, œufs, sucre",8,""
  66,Pêche Melba,"Pêche, sorbet framboise, coulis",9,""
  67,Ananas rôti,"Ananas, vanille, sucre de canne",7.5,""
  68,Fondant au chocolat,"Cœur coulant au chocolat noir, glace vanille",8.5,gluten
  69,Tarte tatin,"Tarte aux pommes caramélisées, crème fraîche",7.5,gluten
  70,Crème brûlée,"Crème vanille, caramel croustillant",7,gluten
  71,Île flottante,"Meringue pochée, crème anglaise, caramel",8,lactose
  72,Tiramisu classique,"Mascarpone, café, cacao, biscuits",9,lactose
  73,Panna cotta,"Crème vanille, coulis de fruits rouges",7.5,lactose
  74,Glace à la cacahuète,Glace artisanale à la cacahuète grillée,6.5,arachide
  75,Brownie aux cacahuètes,"Brownie au chocolat, cacahuètes caramélisées",8,arachide
  76,Tarte aux noix de pécan,"Noix de pécan caramélisées, pâte sablée",8.5,fruits à coque
  77,Parfait aux amandes,"Amandes grillées, miel, yaourt",7,fruits à coque
  78,Gâteau aux noisettes,Gâteau moelleux aux noisettes torréfiées,7.5,fruits à coque
  79,Crème dessert au soja,"Crème végétale au soja, vanille",5.5,soja
  80,Mousse au tofu soyeux,"Tofu soyeux, chocolat, sucre",7,soja
  81,Terrine de poisson en gelée,"Terrine de saumon, gelée d'aspic",10,poisson
  82,Biscuit aux crevettes,Biscuit salé-sucré aux crevettes séchées,6,crustacés
  83,Pain d'épices à la moutarde,"Pain d'épices, moutarde douce, miel",6.5,moutarde
  84,Halva au sésame,"Pâte de sésame, miel, pistaches",7,sésame
  85,Cookie au sésame,"Cookie croustillant, graines de sésame noir",5,sésame
  86,Abricots secs caramélisés,"Abricots secs, sucre, vanille",6,sulfites
  87,Gâteau aux fruits confits,"Fruits confits, rhum, pâte sablée",8,sulfites
  88,Tarte aux amandes et chocolat,"Pâte sablée, crème d'amandes, chocolat",9,gluten|fruits à coque|lactose
  89,Crème glacée aux cacahuètes et soja,"Glace soja, cacahuètes, caramel",7.5,arachide|soja
  90,Baklava,"Pâte filo, noix, miel, beurre",8.5,gluten|fruits à coque|lactose
  91,Muffin aux noix et chocolat,"Muffin, noix, pépites de chocolat",6.5,gluten|fruits à coque|lactose
```
